"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","01514","","枝幸町","","36","-","152","-","-","-","1","-","-","-","14","5"
"2023000000","","2023年","01516","","豊富町","","9","1","60","-","-","-","-","-","-","-","8","3"
"2023000000","","2023年","01517","","礼文町","","13","1","26","-","-","1","-","-","-","-","5","5"
"2023000000","","2023年","01518","","利尻町","","7","-","35","-","-","-","-","-","-","-","5","1"
"2023000000","","2023年","01519","","利尻富士町","","7","-","41","-","-","-","-","-","-","-","4","2"
"2023000000","","2023年","01520","","幌延町","","12","1","31","-","-","-","-","-","-","-","7","6"
"2023000000","","2023年","01543","","美幌町","","76","11","330","1","1","1","1","1","-","1","67","25"
"2023000000","","2023年","01544","","津別町","","13","5","92","-","-","-","2","-","-","-","9","4"
"2023000000","","2023年","01545","","斜里町","","40","2","192","-","-","1","1","-","-","-","32","12"
"2023000000","","2023年","01546","","清里町","","9","1","67","-","-","-","-","-","-","-","12","4"
"2023000000","","2023年","01547","","小清水町","","12","1","79","-","-","1","-","-","-","-","11","3"
"2023000000","","2023年","01549","","訓子府町","","11","3","78","-","-","1","-","-","-","-","4","6"
"2023000000","","2023年","01550","","置戸町","","10","-","60","-","-","-","-","-","-","-","4","2"
"2023000000","","2023年","01552","","佐呂間町","","22","6","84","-","-","-","1","-","-","-","12","8"
"2023000000","","2023年","01555","","遠軽町","","67","4","325","-","-","-","2","-","-","-","63","21"
"2023000000","","2023年","01559","","湧別町","","40","1","157","-","-","-","-","-","-","-","22","12"
"2023000000","","2023年","01560","","滝上町","","12","1","65","-","-","-","-","-","-","-","7","3"
"2023000000","","2023年","01561","","興部町","","12","3","52","-","-","-","-","-","-","-","16","6"
"2023000000","","2023年","01562","","西興部村","","4","-","15","-","-","1","-","-","-","-","-","2"
"2023000000","","2023年","01563","","雄武町","","14","1","69","-","-","1","-","-","-","-","13","8"
"2023000000","","2023年","01564","","大空町","","22","1","106","-","-","-","-","-","-","-","21","6"
"2023000000","","2023年","01571","","豊浦町","","17","3","61","-","-","-","-","-","-","-","3","5"
"2023000000","","2023年","01575","","壮瞥町","","11","-","53","-","-","-","-","-","-","-","4","-"
"2023000000","","2023年","01578","","白老町","","38","4","330","-","-","1","-","-","-","-","32","12"
"2023000000","","2023年","01581","","厚真町","","24","-","78","-","-","-","-","-","-","-","14","10"
"2023000000","","2023年","01584","","洞爺湖町","","24","3","177","-","-","-","-","-","-","-","14","12"
"2023000000","","2023年","01585","","安平町","","23","3","117","-","-","1","-","-","-","-","19","8"
"2023000000","","2023年","01586","","むかわ町","","29","1","127","-","-","1","2","1","1","-","15","13"
"2023000000","","2023年","01601","","日高町","","48","7","172","-","-","-","-","-","-","-","35","15"
"2023000000","","2023年","01602","","平取町","","19","3","72","-","-","-","-","-","-","-","12","5"
"2023000000","","2023年","01604","","新冠町","","18","2","89","-","-","-","-","-","-","-","14","6"
"2023000000","","2023年","01607","","浦河町","","52","3","194","-","-","-","-","-","-","-","29","16"
"2023000000","","2023年","01608","","様似町","","20","2","83","-","-","-","-","-","-","-","8","7"
"2023000000","","2023年","01609","","えりも町","","15","4","82","-","-","-","-","-","-","-","20","8"
"2023000000","","2023年","01610","","新ひだか町","","86","11","335","1","-","1","1","-","-","-","76","33"
"2023000000","","2023年","01631","","音更町","","220","20","538","1","1","-","1","1","-","1","112","86"
"2023000000","","2023年","01632","","士幌町","","30","5","93","-","-","-","-","-","-","-","14","7"
"2023000000","","2023年","01633","","上士幌町","","19","1","85","-","-","1","1","-","-","-","11","7"
"2023000000","","2023年","01634","","鹿追町","","35","-","66","-","-","1","-","1","1","-","19","8"
